code,idx,date,close
002306.XSHE,5.0,2019-10-31,2.62
002306.XSHE,6.0,2019-11-29,2.44
002306.XSHE,7.0,2019-12-31,2.52
002306.XSHE,8.0,2020-01-23,2.54
002306.XSHE,9.0,2020-02-28,2.31
002306.XSHE,10.0,2020-03-31,3.02
002306.XSHE,11.0,2020-04-30,3.46
002307.XSHE,0.0,2019-05-31,6.77
002307.XSHE,1.0,2019-06-28,6.72
002307.XSHE,2.0,2019-07-31,6.3
002307.XSHE,3.0,2019-08-30,5.71
002307.XSHE,4.0,2019-09-30,5.96
002307.XSHE,5.0,2019-10-31,5.66
002307.XSHE,6.0,2019-11-29,5.64
002307.XSHE,7.0,2019-12-31,5.9
002307.XSHE,8.0,2020-01-23,5.65
002307.XSHE,9.0,2020-02-28,5.35
002307.XSHE,10.0,2020-03-31,6.01
002307.XSHE,11.0,2020-04-30,5.77
002308.XSHE,0.0,2019-05-31,5.11
002308.XSHE,1.0,2019-06-28,4.98
002308.XSHE,2.0,2019-07-31,4.69
002308.XSHE,3.0,2019-08-30,4.36
002308.XSHE,4.0,2019-09-30,4.29
002308.XSHE,5.0,2019-10-31,4.49
002308.XSHE,6.0,2019-11-29,4.34
002308.XSHE,7.0,2019-12-31,4.62
002308.XSHE,8.0,2020-01-23,5.34
002308.XSHE,9.0,2020-02-28,6.33
002308.XSHE,10.0,2020-03-31,5.33
002308.XSHE,11.0,2020-04-30,5.9
002309.XSHE,0.0,2019-05-31,7.52
002309.XSHE,1.0,2019-06-28,6.88
002309.XSHE,2.0,2019-07-31,6.76
002309.XSHE,3.0,2019-08-30,6.77
002309.XSHE,4.0,2019-09-30,6.53
002309.XSHE,5.0,2019-10-31,6.18
002309.XSHE,6.0,2019-11-29,5.85
002309.XSHE,7.0,2019-12-31,6.15
002309.XSHE,8.0,2020-01-23,6.14
002309.XSHE,9.0,2020-02-28,6.28
002309.XSHE,10.0,2020-03-31,6.16
002309.XSHE,11.0,2020-04-30,5.72
002310.XSHE,0.0,2019-05-31,5.48
002310.XSHE,1.0,2019-06-28,5.9
002310.XSHE,2.0,2019-07-29,5.8
002310.XSHE,3.0,2019-08-30,5.07
002310.XSHE,4.0,2019-09-30,5.07
002310.XSHE,5.0,2019-10-31,5.05
002310.XSHE,6.0,2019-11-29,4.59
